id,variante_principale,variante_ingredients,variante_permutation,actions_principale,actions_ingredients,actions_permutation,nb_principale,nb_ingredients,nb_permutation,title,category,number_of_steps,number_of_ingredients,complexity,flag_t6_complet,flag_t6_doublon,flag_t6_vide,flag_t6_anti_dup,flag_t6_global,cluster
165cdd5492,"['sift', 'heat', 'beat', 'chill', 'shape', 'bake', 'cool', 'mix', 'dip']","['sift', 'measure', 'heat', 'beat', 'chill', 'shape', 'bake', 'cool', 'mix', 'dip', 'pour']","['heat', 'sift', 'beat', 'shape', 'chill', 'bake', 'mix', 'cool', 'dip']","['sift', 'heat', 'beat', 'chill', 'shape', 'bake', 'cool', 'mix', 'dip']","['sift', 'measure', 'heat', 'beat', 'chill', 'shape', 'bake', 'cool', 'mix', 'dip', 'pour']","['heat', 'sift', 'beat', 'shape', 'chill', 'bake', 'mix', 'cool', 'dip']",9,11,9,Pfeffernusse(Pepper Balls),other,13,13,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,13
166b7da000,"['chop', 'mix', 'roll', 'serve']","['chop', 'shred', 'slice', 'measure', 'mix', 'pour', 'roll']","['roll', 'chop', 'mix', 'serve']","['chop', 'mix', 'roll', 'serve']","['chop', 'shred', 'slice', 'measure', 'mix', 'pour', 'roll']","['roll', 'chop', 'mix', 'serve']",4,7,4,Crunchy Asian Chicken Wraps,quick_prep,3,7,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,11
1665c7f7d1,"['chop', 'boil', 'toss', 'drain', 'serve']","['chop', 'measure', 'pour', 'mix', 'combine', 'toss', 'drain', 'arrange']","['boil', 'toss', 'chop', 'drain', 'serve']","['chop', 'boil', 'toss', 'drain', 'serve']","['chop', 'measure', 'pour', 'mix', 'combine', 'toss', 'drain', 'arrange']","['boil', 'toss', 'chop', 'drain', 'serve']",5,8,5,Shrimp Asparagus Salad With Vinaigrette,quick_prep,11,16,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,8
1662695bd3,"['chop', 'heat', 'simmer', 'melt', 'mix', 'bake', 'serve']","['chop', 'measure', 'pour', 'melt', 'mix', 'combine', 'arrange', 'bake', 'garnish', 'serve']","['melt', 'chop', 'mix', 'heat', 'simmer', 'bake', 'serve']","['chop', 'heat', 'simmer', 'melt', 'mix', 'bake', 'serve']","['chop', 'measure', 'pour', 'melt', 'mix', 'combine', 'arrange', 'bake', 'garnish', 'serve']","['melt', 'chop', 'mix', 'heat', 'simmer', 'bake', 'serve']",7,10,7,Double Pear Crisp,other,13,9,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,12
167801bc90,"['chop', 'mix', 'pour', 'chill', 'serve']","['wash', 'peel', 'dice', 'slice', 'measure', 'mix', 'pour', 'garnish']","['pour', 'chop', 'mix', 'chill', 'serve']","['chop', 'mix', 'pour', 'chill', 'serve']","['wash', 'peel', 'dice', 'slice', 'measure', 'mix', 'pour', 'garnish']","['pour', 'chop', 'mix', 'chill', 'serve']",5,8,5,Celeriac Salad (Celery Root),quick_prep,4,10,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,19
167c7ef508,"['chop', 'mix', 'heat', 'bake', 'sprinkle', 'serve']","['chop', 'measure', 'drain', 'saute', 'pour', 'mix', 'heat', 'bake', 'sprinkle']","['heat', 'chop', 'mix', 'bake', 'sprinkle', 'serve']","['chop', 'mix', 'heat', 'bake', 'sprinkle', 'serve']","['chop', 'measure', 'drain', 'saute', 'pour', 'mix', 'heat', 'bake', 'sprinkle']","['heat', 'chop', 'mix', 'bake', 'sprinkle', 'serve']",6,9,6,Broccoli Rice With Cheese Casserole,stew,3,7,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,1
1669dc8fcc,"['chop', 'brush', 'heat', 'place', 'whisk', 'drizzle', 'serve']","['chop', 'snip', 'crumble', 'measure', 'brush', 'whisk', 'pour', 'drizzle']","['brush', 'chop', 'whisk', 'heat', 'place', 'drizzle', 'serve']","['chop', 'brush', 'heat', 'place', 'whisk', 'drizzle', 'serve']","['chop', 'snip', 'crumble', 'measure', 'brush', 'whisk', 'pour', 'drizzle']","['brush', 'chop', 'whisk', 'heat', 'place', 'drizzle', 'serve']",7,8,7,Seared Scallops With Endive and Roquefort,other,6,8,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,10
166cee12ec,"['chop', 'mix', 'toss', 'serve']","['chop', 'slice', 'measure', 'pour', 'whisk', 'toss']","['toss', 'chop', 'mix', 'serve']","['chop', 'mix', 'toss', 'serve']","['chop', 'slice', 'measure', 'pour', 'whisk', 'toss']","['toss', 'chop', 'mix', 'serve']",4,6,4,Bean Sprout Salad - Mom Style,quick_prep,3,11,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,17
167e6c0782,"['combine', 'heat', 'blend', 'freeze', 'serve']","['chop', 'measure', 'combine', 'pour', 'blend', 'freeze', 'slice']","['heat', 'combine', 'blend', 'freeze', 'serve']","['combine', 'heat', 'blend', 'freeze', 'serve']","['chop', 'measure', 'combine', 'pour', 'blend', 'freeze', 'slice']","['heat', 'combine', 'blend', 'freeze', 'serve']",5,7,5,Ginger Peach Freeze,other,11,6,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,7
166c64188d,"['rinse', 'pat', 'dredge', 'melt', 'brown', 'stir', 'simmer', 'remove', 'pour', 'serve']","['chop', 'measure', 'mix', 'dredge', 'melt', 'stir', 'add', 'simmer', 'remove', 'pour', 'sprinkle', 'serve']","['melt', 'dredge', 'brown', 'rinse', 'pat', 'stir', 'simmer', 'remove', 'pour', 'serve']","['rinse', 'pat', 'dredge', 'melt', 'brown', 'stir', 'simmer', 'remove', 'pour', 'serve']","['chop', 'measure', 'mix', 'dredge', 'melt', 'stir', 'add', 'simmer', 'remove', 'pour', 'sprinkle', 'serve']","['melt', 'dredge', 'brown', 'rinse', 'pat', 'stir', 'simmer', 'remove', 'pour', 'serve']",10,12,10,New Orleans Wine Sauced Chicken,other,19,17,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,24
166cc404ed,"['beat', 'scrape', 'mix', 'add']","['chop', 'measure', 'pour', 'beat', 'scrape', 'mix', 'add', 'stir']","['mix', 'add', 'beat', 'scrape']","['beat', 'scrape', 'mix', 'add']","['chop', 'measure', 'pour', 'beat', 'scrape', 'mix', 'add', 'stir']","['mix', 'add', 'beat', 'scrape']",4,8,4,Teri's Buttercream Frosting for Banana Nut Bread,bakery,6,6,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,14
166e31ed4e,"['chop', 'boil', 'cool', 'toss', 'serve']","['chop', 'measure', 'drain', 'rinse', 'roast', 'toss', 'season']","['boil', 'chop', 'cool', 'toss', 'serve']","['chop', 'boil', 'cool', 'toss', 'serve']","['chop', 'measure', 'drain', 'rinse', 'roast', 'toss', 'season']","['boil', 'chop', 'cool', 'toss', 'serve']",5,7,5,Vegetarian Chefs Salad,quick_prep,13,10,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,8
167836214a,"['chop', 'mix', 'heat', 'stir', 'cool', 'whip', 'fold', 'serve']","['chop', 'measure', 'squeeze', 'pour', 'whisk', 'beat', 'stir', 'fold', 'mix', 'heat', 'cool']","['heat', 'stir', 'chop', 'mix', 'cool', 'whip', 'fold', 'serve']","['chop', 'mix', 'heat', 'stir', 'cool', 'whip', 'fold', 'serve']","['chop', 'measure', 'squeeze', 'pour', 'whisk', 'beat', 'stir', 'fold', 'mix', 'heat', 'cool']","['heat', 'stir', 'chop', 'mix', 'cool', 'whip', 'fold', 'serve']",8,11,8,Margarita Mousse,other,16,13,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,15
167eb61c76,"['chop', 'mix', 'heat', 'drain', 'serve']","['chop', 'measure', 'pour', 'drain', 'rinse', 'mix', 'heat', 'stir', 'serve']","['heat', 'chop', 'mix', 'drain', 'serve']","['chop', 'mix', 'heat', 'drain', 'serve']","['chop', 'measure', 'pour', 'drain', 'rinse', 'mix', 'heat', 'stir', 'serve']","['heat', 'chop', 'mix', 'drain', 'serve']",5,9,5,Polenta con Fagioli,other,13,7,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,22
168658c85b,"['chop', 'cook', 'mix', 'serve']","['chop', 'dice', 'shred', 'measure', 'pour', 'mix', 'toss']","['cook', 'chop', 'mix', 'serve']","['chop', 'cook', 'mix', 'serve']","['chop', 'dice', 'shred', 'measure', 'pour', 'mix', 'toss']","['cook', 'chop', 'mix', 'serve']",4,7,4,Cold Asian Noodle Salad,quick_prep,3,9,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,4
165524335d,"['chop', 'mix', 'heat', 'stir', 'sprinkle', 'bake', 'serve']","['chop', 'measure', 'mix', 'stir', 'pour', 'sprinkle', 'toss', 'combine', 'melt', 'bake', 'serve']","['heat', 'stir', 'chop', 'mix', 'sprinkle', 'bake', 'serve']","['chop', 'mix', 'heat', 'stir', 'sprinkle', 'bake', 'serve']","['chop', 'measure', 'mix', 'stir', 'pour', 'sprinkle', 'toss', 'combine', 'melt', 'bake', 'serve']","['heat', 'stir', 'chop', 'mix', 'sprinkle', 'bake', 'serve']",7,11,7,Cranberry-chocolate Crumble Dessert,other,1,10,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,1
1687e4c777,"['chop', 'mix', 'heat', 'serve']","['chop', 'mince', 'measure', 'pour', 'mix', 'stir']","['heat', 'chop', 'mix', 'serve']","['chop', 'mix', 'heat', 'serve']","['chop', 'mince', 'measure', 'pour', 'mix', 'stir']","['heat', 'chop', 'mix', 'serve']",4,6,4,Creamy Macaroni Salad Recipe,quick_prep,1,4,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,16
166d66792e,"['peel', 'mash', 'mix', 'boil', 'drain', 'season', 'serve']","['chop', 'slice', 'dice', 'massage', 'squeeze', 'defrost', 'drain', 'mix', 'boil', 'season']","['boil', 'peel', 'drain', 'mash', 'mix', 'season', 'serve']","['peel', 'mash', 'mix', 'boil', 'drain', 'season', 'serve']","['chop', 'slice', 'dice', 'massage', 'squeeze', 'defrost', 'drain', 'mix', 'boil', 'season']","['boil', 'peel', 'drain', 'mash', 'mix', 'season', 'serve']",7,10,7,Our Family's Potato Salad,stew,13,10,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,21
16837e05e8,"['chop', 'sprinkle', 'heat', 'pack', 'store']","['chop', 'core', 'measure', 'sprinkle', 'pour', 'pack']","['sprinkle', 'chop', 'heat', 'store', 'pack']","['chop', 'sprinkle', 'heat', 'pack', 'store']","['chop', 'core', 'measure', 'sprinkle', 'pour', 'pack']","['sprinkle', 'chop', 'heat', 'store', 'pack']",5,6,5,Oven Dried Tomatoes,other,6,2,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,14
1682beaacf,"['chop', 'mix', 'heat', 'frost', 'serve']","['chop', 'crush', 'measure', 'pour', 'mix', 'stir', 'heat', 'frost']","['heat', 'frost', 'mix', 'chop', 'serve']","['chop', 'mix', 'heat', 'frost', 'serve']","['chop', 'crush', 'measure', 'pour', 'mix', 'stir', 'heat', 'frost']","['heat', 'frost', 'mix', 'chop', 'serve']",5,8,5,Best Meatloaf Recipe,bakery,1,7,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,22
1686b83be2,"['chop', 'saute', 'mix', 'cook', 'pour', 'serve']","['chop', 'measure', 'peel', 'clean', 'melt', 'saute', 'mix', 'pour', 'sprinkle']","['saute', 'chop', 'mix', 'pour', 'cook', 'serve']","['chop', 'saute', 'mix', 'cook', 'pour', 'serve']","['chop', 'measure', 'peel', 'clean', 'melt', 'saute', 'mix', 'pour', 'sprinkle']","['saute', 'chop', 'mix', 'pour', 'cook', 'serve']",6,9,6,Honey-I-Love-You Lemongrass Shrimp Pasta,other,10,9,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,18
167ed294be,"['whisk', 'mix', 'bake', 'cool', 'serve']","['chop', 'measure', 'whisk', 'mix', 'shred', 'crumble', 'season', 'bake', 'cool', 'serve']","['bake', 'whisk', 'mix', 'cool', 'serve']","['whisk', 'mix', 'bake', 'cool', 'serve']","['chop', 'measure', 'whisk', 'mix', 'shred', 'crumble', 'season', 'bake', 'cool', 'serve']","['bake', 'whisk', 'mix', 'cool', 'serve']",5,10,5,Mash Potato Puffs,stew,8,8,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,13
