id,test,type_2
00bd6b3338,2,variante_principale
01122bb07c,2,variante_principale
01291e33de,2,variante_principale
0102327582,2,variante_principale
00ac059847,2,variante_principale
01147f917f,2,variante_principale
009bb21468,2,variante_principale
00f184cd57,2,variante_principale
02264dd398,2,variante_principale
00fd08e37d,2,variante_principale
010b56ba81,2,variante_principale
00ca13c147,2,variante_principale
005f659769,2,variante_principale
011357189d,2,variante_principale
011c1e3624,2,variante_principale
00a3edb2bc,2,variante_principale
0168e165b2,2,variante_principale
0091e22581,2,variante_principale
02563852ad,2,variante_principale
009469e37d,2,variante_principale
01405faffc,2,variante_principale
0099743746,2,variante_principale
00f9abcc43,2,variante_principale
00cbd77892,2,variante_principale
0201ae6150,2,variante_principale
012a3aa101,2,variante_principale
00f17a2d6d,2,variante_principale
00c1a4929e,2,variante_principale
00310c3462,2,variante_principale
01f27990ff,2,variante_principale
0095610c25,2,variante_principale
008ed7d637,2,variante_principale
00cfe9b109,2,variante_principale
00814a8903,2,variante_principale
014dab57e6,2,variante_principale
007fd3cd60,2,variante_principale
01ae8e1bad,2,variante_principale
006ee2c4ed,2,variante_principale
01245e4195,2,variante_principale
01911a5317,2,variante_principale
01eacc1b55,2,variante_principale
020c1c7487,2,variante_principale
006681cf9e,2,variante_principale
0110b504d7,2,variante_principale
011d587b59,2,variante_principale
0010cad8ab,2,variante_principale
020911ab3d,2,variante_principale
01860aec98,2,variante_principale
00d64f7843,2,variante_principale
00b0b38144,2,variante_principale
00df1f2b8e,2,variante_principale
00eeee40e7,2,variante_principale
00916768df,2,variante_principale
018d9e5cee,2,variante_principale
010f1bc956,2,variante_principale
004ba18813,2,variante_principale
0187871932,2,variante_principale
0117e61c0d,2,variante_principale
009dcc87e2,2,variante_principale
001577ef97,2,variante_principale
01267207f6,2,variante_principale
01c39c08e5,2,variante_principale
00df2146ce,2,variante_principale
02540bd21a,2,variante_principale
00fed4798b,2,variante_principale
01eb226e2b,2,variante_principale
0044de4383,2,variante_principale
0066c83c9e,2,variante_principale
00ad13b92b,2,variante_principale
0143d736a9,2,variante_principale
00b799eccd,2,variante_principale
01ea35620d,2,variante_principale
01aa19ee6f,2,variante_principale
008bf2a6e5,2,variante_principale
0146d2c0eb,2,variante_principale
009cde075e,2,variante_principale
010ba2c809,2,variante_principale
0120f8d20c,2,variante_principale
00c13dd408,2,variante_principale
00fc3fbe32,2,variante_principale
00ca46a312,2,variante_principale
014cea6cc2,2,variante_principale
02191f4b05,2,variante_principale
010b4fde85,2,variante_principale
0090144e97,2,variante_principale
024ca59ee9,2,variante_principale
00df7ff210,2,variante_principale
012a555d5a,2,variante_principale
015e29e043,2,variante_principale
00a1c280c1,2,variante_principale
01e03699c2,2,variante_principale
00e09c3152,2,variante_principale
002674872e,2,variante_principale
00dd3e3502,2,variante_principale
009be03846,2,variante_principale
00543b8981,2,variante_principale
008ae190f6,2,variante_principale
009de17b69,2,variante_principale
00553bdab9,2,variante_principale
0132503fc2,2,variante_principale
00c9daf455,2,variante_principale
014cc81552,2,variante_principale
010e3d735f,2,variante_principale
006881abf8,2,variante_principale
009c79f532,2,variante_principale
03ad8d397a,2,variante_principale
0276a84ad9,2,variante_principale
02c7170c59,2,variante_principale
03e6d16d0b,2,variante_principale
03627c45ac,2,variante_principale
03c3040939,2,variante_principale
03188d418a,2,variante_principale
0360d40f33,2,variante_principale
02d5a7c95a,2,variante_principale
03b8ad88c6,2,variante_principale
02afbb55e0,2,variante_principale
038b1e2397,2,variante_principale
02f27c222f,2,variante_principale
03b590aeed,2,variante_principale
02c3f82d5e,2,variante_principale
0493300461,2,variante_principale
04a54f4c35,2,variante_principale
03ab98a823,2,variante_principale
0321fe0c90,2,variante_principale
02edc902d7,2,variante_principale
04a99da136,2,variante_principale
0669763e33,2,variante_principale
06dc8c8d36,2,variante_principale
050cf7d659,2,variante_principale
0674892e62,2,variante_principale
05a928305a,2,variante_principale
06b16164da,2,variante_principale
05f1b3701f,2,variante_principale
059269d14e,2,variante_principale
064674c9d5,2,variante_principale
0549bdce26,2,variante_principale
066387f26e,2,variante_principale
04c3f12ddb,2,variante_principale
06c4130b79,2,variante_principale
05d0b9d39e,2,variante_principale
0555ac19eb,2,variante_principale
060b5d4486,2,variante_principale
06c0cf9f78,2,variante_principale
04dba47456,2,variante_principale
065f8f58cd,2,variante_principale
06161d4559,2,variante_principale
057cf45959,2,variante_principale
04c455d3e6,2,variante_principale
0513629af0,2,variante_principale
0688b54d52,2,variante_principale
0677fb55b9,2,variante_principale
05e2ca468d,2,variante_principale
05d392a909,2,variante_principale
070c9fcbdd,2,variante_principale
063763c287,2,variante_principale
071c02f6ce,2,variante_principale
0552a7e74d,2,variante_principale
066dbb956f,2,variante_principale
0706081a7c,2,variante_principale
07b337e278,2,variante_principale
0976570e64,2,variante_principale
07b6a78560,2,variante_principale
0982a4787f,2,variante_principale
0752de759e,2,variante_principale
08337e6458,2,variante_principale
09649c0e7c,2,variante_principale
076812a87a,2,variante_principale
0927033521,2,variante_principale
08b85b104e,2,variante_principale
07e754305d,2,variante_principale
0888763939,2,variante_principale
08ee0f0e57,2,variante_principale
08e283af9b,2,variante_principale
095a165fb9,2,variante_principale
0760beecbb,2,variante_principale
