id,type_2_tous,nb_type2
000095fc1d,['variante_permutation'],1
000320b7ce,"['variante_ingredients', 'variante_permutation']",2
001078d812,['variante_ingredients'],1
0010cad8ab,['variante_principale'],1
001404a16f,['variante_ingredients'],1
00154ea0c2,['variante_ingredients'],1
001577ef97,['variante_principale'],1
0018861236,['variante_ingredients'],1
0019ae8eca,"['variante_ingredients', 'variante_permutation']",2
001ab60ef2,['variante_ingredients'],1
001b2ddde5,['variante_ingredients'],1
001b9e0557,['variante_ingredients'],1
001ba13f50,['variante_ingredients'],1
001bf40cdc,['variante_ingredients'],1
001dcd11d0,['variante_ingredients'],1
001f597fa0,['variante_permutation'],1
001f8b08ac,['variante_permutation'],1
001fc433cf,['variante_ingredients'],1
0020d1020c,['variante_ingredients'],1
0023141e65,['variante_ingredients'],1
00236dc7a4,['variante_ingredients'],1
00238502a7,['variante_ingredients'],1
0024419cd2,['variante_ingredients'],1
002674872e,['variante_principale'],1
002b898576,['variante_permutation'],1
002d900428,['variante_ingredients'],1
00310c3462,['variante_principale'],1
00343036e7,['variante_ingredients'],1
003dc12974,['variante_ingredients'],1
003efa5095,['variante_permutation'],1
00402b3d11,['variante_ingredients'],1
0044acedb5,['variante_ingredients'],1
0044de4383,['variante_principale'],1
004ba18813,['variante_principale'],1
004d0ada13,['variante_ingredients'],1
00518996fe,['variante_ingredients'],1
00543b8981,['variante_principale'],1
00553bdab9,['variante_principale'],1
00554aac4a,['variante_ingredients'],1
005698a34d,['variante_ingredients'],1
005a5d5f93,['variante_ingredients'],1
005cb1d54d,['variante_ingredients'],1
005f659769,['variante_principale'],1
00647bd371,['variante_ingredients'],1
0064ffcb1d,['variante_ingredients'],1
0065433825,['variante_ingredients'],1
006681cf9e,['variante_principale'],1
0066c83c9e,['variante_principale'],1
0066e330c0,['variante_ingredients'],1
006881abf8,['variante_principale'],1
006a7c00c4,['variante_ingredients'],1
006adbbeee,"['variante_ingredients', 'variante_permutation']",2
006aebde1c,['variante_ingredients'],1
006b4e6f08,['variante_ingredients'],1
006cefafd0,['variante_ingredients'],1
006e1a215c,['variante_ingredients'],1
006ee2c4ed,['variante_principale'],1
00701a50ae,['variante_ingredients'],1
0071e9ba4d,['variante_ingredients'],1
00756b9fff,['variante_ingredients'],1
0075d9585c,['variante_ingredients'],1
0078549fb4,"['variante_ingredients', 'variante_permutation']",2
007ccaa5bc,"['variante_ingredients', 'variante_permutation']",2
007de84a0a,['variante_ingredients'],1
007e467016,['variante_ingredients'],1
007fd3cd60,['variante_principale'],1
007fd8202a,['variante_ingredients'],1
00814a8903,['variante_principale'],1
0081566982,['variante_ingredients'],1
00818ac93e,['variante_ingredients'],1
0083ca332e,['variante_ingredients'],1
0084220db7,['variante_ingredients'],1
008843957c,['variante_ingredients'],1
008ae190f6,['variante_principale'],1
008bf2a6e5,['variante_principale'],1
008ecfb7d9,['variante_ingredients'],1
008ed7d637,['variante_principale'],1
0090144e97,['variante_principale'],1
009154560f,['variante_ingredients'],1
00916768df,['variante_principale'],1
0091e22581,['variante_principale'],1
00937f67b2,['variante_permutation'],1
0093c3ec41,['variante_ingredients'],1
009469e37d,['variante_principale'],1
0094be633a,['variante_ingredients'],1
